iter	Passed	Remaining
0	2	277
1	4	231
2	6	217
3	8	199
4	9	188
5	13	210
6	15	201
7	16	191
8	17	181
9	19	173
10	20	166
11	21	159
12	22	152
13	23	146
14	25	143
15	26	141
16	27	136
17	28	132
18	30	127
19	30	123
20	31	120
21	32	116
22	34	114
23	35	110
24	36	108
25	36	105
26	37	102
27	38	99
28	40	99
29	41	97
30	43	96
31	44	94
32	45	92
33	46	89
34	47	87
35	48	85
36	49	84
37	50	82
38	51	80
39	52	78
40	53	76
41	53	74
42	55	73
43	57	72
44	58	71
45	59	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	61
51	65	60
52	66	58
53	67	57
54	67	55
55	68	53
56	70	53
57	71	51
58	73	50
59	73	49
60	74	47
61	75	46
62	76	45
63	77	43
64	78	42
65	79	41
66	80	39
67	81	38
68	82	37
69	83	35
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	116	0
